Thrust_Total_kN,TSFC,T_Combustor,T_EGT,Blend
270.68646525972304,31.878948922401065,2347.4873959506294,1556.4109,"Blend(JetA=100%, HEFA=0%, FT=0%, ATJ=0%)"
270.68646525972304,31.878948922401065,2347.4873959506294,1556.4109,"Blend(JetA=50%, HEFA=50%, FT=0%, ATJ=0%)"
270.66160588472303,31.881876898621694,2346.2131704338553,1555.1367,"Blend(JetA=50%, HEFA=0%, FT=0%, ATJ=50%)"
